"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 873","gene 873",0.639702065974528,0.279701100957027,-0.0154966060310426,0.328328937869875
"gene 542","gene 542",0.647349612583243,0.438582963928918,0.0349026530914123,0.328965092581749
"gene 684","gene 684",0.690045454364182,0.279701100957027,0.0348467823586117,0.329320942138917
"gene 675","gene 675",0.469502833617695,1.08487337553281,-0.0153299139942508,0.329390257221643
"gene 513","gene 513",0.441869694522901,1.3591741461712,-0.0150537020395519,0.331151910292314
"gene 441","gene 441",0.456771200030466,1.21902084575933,-0.0149046791952669,0.332103921150898
"gene 228","gene 228",0.477251697212658,1.02467318216435,-0.0147151571267721,0.333316221967145
"gene 621","gene 621",0.728838878685512,0.137503523749935,0.0341852720360358,0.333545886821597
"gene 763","gene 763",0.540528455065575,0.914816942436784,0.0341807265614238,0.333574991866349
"gene 665","gene 665",0.472757789037258,1.06434903545682,-0.0144966151357087,0.334716316209557
"gene 696","gene 696",0.40878535615791,1.72391014573528,-0.0144645284760141,0.33492207431044
"gene 633","gene 633",0.503828769621035,0.840117614412476,-0.0144576291308587,0.334966323352575
"gene 895","gene 895",0.531963884614535,0.973297437396087,0.0339076374104555,0.335325436392734
"gene 157","gene 157",0.513685406701744,0.785131421241046,-0.0143015885533557,0.335967702498515
"gene  86","gene  86",0.47689639580616,1.03173583546934,-0.0142561850192049,0.336259295616912
"gene 206","gene 206",0.560187821829357,0.582979846143503,-0.0142267472524075,0.336448405156631
"gene 886","gene 886",0.513286286952685,1.13774649583572,0.0337274438168832,0.336482403665212
"gene 549","gene 549",0.577143496300746,0.706180344171974,0.0336576750440867,0.336930784195716
"gene 679","gene 679",0.745445941324387,0.0762067710757798,0.0335670264278678,0.337513698708858
"gene 288","gene 288",0.652794858740862,0.237785484795579,-0.0138391677223093,0.338942076758778
"gene   1","gene   1",0.514158205685135,0.785131421241046,-0.0138287895699652,0.339008947109499
"gene 594","gene 594",0.468528571378056,1.10896253554671,-0.013774631080022,0.339357992958312
"gene 344","gene 344",0.539576580221863,0.914816942436784,0.0332288517177112,0.339691758832847
"gene 188","gene 188",0.466159678555028,1.61509396741676,0.033180329995655,0.340004711278845
"gene 338","gene 338",0.598861588539161,0.614817025105513,0.0331378831279414,0.340278572942971
"gene 580","gene 580",0.470061937687441,1.09587480929453,-0.0135803701956456,0.34061111661036
"gene 303","gene 303",0.478840670385183,1.02106670623109,-0.0135408424130479,0.340866315601107
"gene 645","gene 645",0.488861750452666,1.36977346617858,0.0329927364891596,0.341215676150194
"gene 729","gene 729",0.607348104364623,0.582979846143503,0.032933535282859,0.341598175770771
"gene  95","gene  95",0.543678431916806,0.886111538047373,0.0328997733244983,0.341816385028897
"gene 862","gene 862",0.521612792628301,0.748275385267589,-0.013362980857384,0.342015523929973
"gene 970","gene 970",0.543626685702143,0.886111538047373,0.0328480271098357,0.342150932159719
"gene 456","gene 456",0.530347381558604,0.977632883325488,0.0328359250981569,0.342229191393829
"gene 811","gene 811",0.548622880902645,0.854051658652557,0.0326665200367813,0.343325381264587
"gene 273","gene 273",0.508948835707691,1.17334240619278,0.0326638352182536,0.343342764890005
"gene 978","gene 978",0.507641604960302,0.825458273904466,-0.0131505349972966,0.343390109923544
"gene 487","gene 487",0.476817336156202,1.04197283234808,-0.0131431435667947,0.34343797205078
"gene 331","gene 331",0.476491780553564,1.04529465866304,-0.013077205010367,0.343865058553165
"gene 906","gene 906",0.516628521002327,0.776343103253079,-0.0129877711651269,0.344444643345982
"gene 227","gene 227",0.465186061918683,1.15306054526449,-0.0129682398486274,0.344571266620403
"gene  42","gene  42",0.63229742033181,0.317452308288252,-0.0128381873829282,0.345414851934138
"gene 908","gene 908",0.687534988318614,0.279701100957027,0.0323363163130435,0.345465856170276
"gene 801","gene 801",0.557280520372125,0.59929241344176,-0.0126704180007839,0.346504222721848
"gene  44","gene  44",0.518551896691581,1.0703893278914,0.0320406163093304,0.347386873717196
"gene 757","gene 757",0.563202841893125,0.767281887591477,0.0318826380832986,0.348414793291986
"gene 435","gene 435",0.726534265839065,0.137503523749935,0.0318806591895886,0.348427676474472
"gene 724","gene 724",0.456327553864549,1.70992312145785,0.0318254143148433,0.34878740745561
"gene 673","gene 673",0.522862866395863,0.748275385267589,-0.0121129070898216,0.350133372559391
"gene 672","gene 672",0.542530123433123,0.657293583944407,-0.0120790899672499,0.350353952045363
"gene 114","gene 114",0.505877402479633,1.19378481168635,0.0315558063054509,0.350544925270618
"gene 843","gene 843",0.631113060031398,0.486487843800437,0.031455432664928,0.351200060426424
"gene 573","gene 573",0.553902079537444,0.614817025105513,-0.0118216258737759,0.352034967653262
"gene 730","gene 730",0.47703398160546,1.05180909284208,-0.0117583161707336,0.352448769564647
"gene 749","gene 749",0.620081052356088,0.528493987166077,0.0312279990847099,0.352686145743502
"gene 451","gene 451",0.470185636909374,1.11400579901542,-0.0116199814107105,0.353353554075415
"gene 738","gene 738",0.546487801416436,0.643762005628246,-0.0115572232396981,0.353764300432104
"gene 260","gene 260",0.614955454055365,0.547674716092105,0.0310361683230359,0.35394134805123
"gene 624","gene 624",0.477301248506972,1.05180909284208,-0.0114910492692211,0.354197587326003
"gene 736","gene 736",0.46771535543101,1.14222387826317,-0.011431228593139,0.354589437321793
"gene  94","gene  94",0.457769397720117,1.24316437135707,-0.0112449389779671,0.35581069528707
"gene 881","gene 881",0.508835442386886,1.15306054526449,0.0306811406195754,0.356268577212101
"gene 789","gene 789",0.700823339199212,0.0762067710757798,-0.0110555756973063,0.357053621679556
"gene 136","gene 136",0.507231816746088,0.840117614412476,-0.0110545820058064,0.357060148003016
"gene 452","gene 452",0.486485677792358,0.977632883325488,-0.011025778668089,0.357249339471486
"gene 605","gene 605",0.488815492238133,0.959842874120326,-0.0109953672638533,0.357449131435938
"gene 629","gene 629",0.514102830497123,1.09587480929453,0.0304605226140366,0.357717450417017
"gene 866","gene 866",0.683716079614423,0.137503523749935,-0.0109375270350537,0.357829228692238
"gene 127","gene 127",0.601585834514789,0.438582963928918,-0.0108611249770416,0.358331521176533
"gene 630","gene 630",0.655818087543608,0.237785484795579,-0.0108159389195639,0.358628704785643
"gene 170","gene 170",0.559156390445638,0.59929241344176,-0.0107945479272709,0.358769420803837
"gene 252","gene 252",0.482091279896025,1.0174083497258,-0.0107107450475258,0.359320884447528
"gene 781","gene 781",0.629854479004997,0.486487843800437,0.0301968516385269,0.359451758585011
"gene 353","gene 353",0.506823546628377,1.16942421129065,0.0301736158782281,0.359604732403702
"gene 751","gene 751",0.563212677674723,0.757931778882259,0.0301081293026457,0.360035987620955
"gene 380","gene 380",0.518437332466271,1.05500374865958,0.0300309610129567,0.360544400284437
"gene 286","gene 286",0.519201937490858,1.04857306483045,0.0300222192160809,0.360602009979326
"gene 898","gene 898",0.519104720994468,0.776343103253079,-0.0105115711729866,0.360632719881157
"gene  27","gene  27",0.696601204957034,0.237785484795579,0.029967178493862,0.360964808859701
"gene 715","gene 715",0.460114194996119,1.64587859696536,0.0298899087538245,0.36147434056598
"gene 799","gene 799",0.617159060945567,0.383076607620891,-0.0103679637679122,0.361579592940271
"gene 458","gene 458",0.669348935348297,0.190795222358842,-0.0103383183012159,0.361775165659568
"gene 907","gene 907",0.6747793629731,0.317452308288252,0.0296437552583624,0.36309915933514
